# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4132.8000 A154 2000000 9 1938.8000 Avenue_20 Avenue_16 267 N Avenue_20->Street_1->Street_8->Street_2->Street_1->Avenue_14->Avenue_17->Avenue_12->Avenue_18->Avenue_16
4188.8000 A292 2000000 1 15.8000 Avenue_12 Avenue_11 299 N Avenue_12->Avenue_11
4193.3000 A283 2000000 1 151.3000 Street_5 Street_3 297 N Street_5->Street_3
4258.5000 A288 2000000 1 150.5000 Avenue_17 Street_1 297 N Avenue_17->Street_1
4268.0000 A278 2000000 2 289.0000 Street_9 Street_8 295 N Street_9->Street_5->Street_8
4296.1000 A290 2000000 2 154.1000 Street_8 Street_4 297 N Street_8->Street_3->Street_4
4297.6000 A285 2000000 2 220.6000 Avenue_13 Street_3 296 N Avenue_13->Street_4->Street_3
4305.7000 A248 2000000 5 755.7000 Avenue_14 Street_7 287 N Avenue_14->Avenue_17->Avenue_18->Avenue_13->Street_4->Street_7
4312.7000 A269 2000000 2 463.7000 Street_5 Street_3 292 N Street_5->Street_9->Street_3
4320.5000 A276 2000000 2 365.5000 Street_5 Avenue_18 293 N Street_5->Street_9->Avenue_18
4330.6000 A242 2000000 4 872.6000 Street_7 Station1_0 285 N Street_7->Street_3->Street_7->Street_5->Station1_0
4351.9000 A256 2000000 2 683.9000 Avenue_20 Avenue_13 288 N Avenue_20->Avenue_19->Avenue_13
4382.1000 A289 2000000 4 256.1000 Avenue_17 Avenue_18 295 N Avenue_17->Avenue_13->Street_4->Street_7->Avenue_18
4407.7000 A300 2000000 2 119.7000 Street_5 Street_4 298 N Street_5->Street_9->Street_4
4407.7000 A299 2000000 2 132.7000 Street_8 Street_6 297 N Street_8->Street_2->Street_6
4484.5000 A279 2000000 2 495.5000 Street_8 Street_4 291 N Street_8->Street_3->Street_4
4510.2000 A308 2000000 1 114.2000 Street_7 Street_3 298 N Street_7->Street_3
4592.5000 A313 2000000 2 123.5000 Avenue_19 Street_1 297 N Avenue_19->Street_6->Street_1
4606.4000 A298 2000000 1 342.4000 Street_7 Avenue_17 294 N Street_7->Avenue_17
